name,price,old_price,discount
"Mini Laptop,Intel Pentium/Celeron,4GB RAM,64GB SSD,Windows 11 Pro,-Grey/Black,Renewed","UGX 319,000","UGX 650,000",51%
"Apple Macbook Air 2017 i7 13-inch, 8GB 256GB SSD (Renewed) 1 year Warranty","UGX 849,000","UGX 1,000,000",15%
"X270/X260 Core i5 2.3 GHz 8 GB RAM 256GB SSD 12.5"" HD IPS Windows 11-Renewed","UGX 649,000","UGX 999,000",35%
"Hp  Elite book 820 Core i5 8GB RAM 256GB SSD 12"" Black","UGX 639,900","UGX 1,050,000",39%
"Hp Stream Probook G2/G3  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Black- Renewed","UGX 329,000","UGX 600,000",45%
"Refurbished EliteBook 820 (12.5-inch,Core I7, 8GB RAM,1TB , PLUS FREE MOUSE PAD, MOUSE & BAG -Black (6MTHS WRTY) Grade A","UGX 799,900","UGX 1,500,000",47%
Lenovo 100e 4th Gen 64GB SSD (64GB EMMC) 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY).,"UGX 299,900","UGX 755,000",60%
" 11e Mini Laptop 4GB RAM,128 SSD,11.6 inch Plus Free Pouche Refurbished- Black","UGX 349,000","UGX 799,997",56%
 ThinkPad X250/X240 Intel i5 2.30GHz 8GB RAM 256GB SSD Win 10 Pro-Refurbished,"UGX 559,000","UGX 890,000",37%
"Hp Stream Probook G2/G3  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Black- Renewed","UGX 329,000","UGX 600,000",45%
"Acer Travelmate Spin Mini Laptop ,2 in 1, Touch Screen,4GB RAM,128GB SSD,11.6 Inch","UGX 469,000","UGX 845,000",44%
"Nec VersaPro Slim Laptop, Intel Core i5 8th Generation,8GB RAM,128GB SSD,12.5"" Windows 11 Pro-Black,Refurished","UGX 589,000","UGX 1,100,000",46%
"Hp Probook 640 G2, I5 6th Gen,8GB PC4 RAM 512GB SSD 14""DVD RW – Black,Renewed","UGX 799,000","UGX 1,290,000",38%
"Latitude 3340 13.3"", Intel Core i3,12GB RAM,500GB HDD,- Refurbished - Dark Grey","UGX 579,000","UGX 1,489,995",61%
Hp Probook 640 I5 16GB RAM 500GB HDD  Renewed Laptop Plus Warranty 6 Months – Black,"UGX 599,000","UGX 1,100,000",46%
DELL 7390/7290 core i5 8gb ram 256gb storage touch screen black,"UGX 800,000","UGX 1,350,000",41%
